NAME	SCORE	TMHMM	TMBB	PROSITE	CDD
NP_415383.1 L-arginine ABC transporter membrane subunit ArtQ	100%	3:Yes	Yes	PS50928:16.615:['transport', 'channel', 'import', 'export']:[]	PRK11123:4.97438e-168:['permease']:[]
NP_415400.1 ABC-type tripartite efflux pump ATP binding/membrane subunit	100%	4:Yes	Yes	PS51267:103.362:['transport', 'permease', 'import', 'export']:[]; PS50893:26.144:['transport', 'channel', 'import', 'export']:[]	PRK10535:0.0:['permease']:[]
NP_415434.1 ATP-binding lipopolysaccharide transport protein	100%	5:Yes	Yes	PS51239:186.297:['transport', 'permease', 'import', 'export']:[]; PS50929:51.874:['transport', 'channel', 'import', 'export']:[]; PS50893:24.837:['transport', 'channel', 'import', 'export']:[]	PRK11176:0.0:['permease']:[]
NP_415453.1 aliphatic sulfonate ABC transporter ATP binding subunit	100%	0:No	Yes	PS51291:103.362:['transport', 'permease', 'import', 'export']:[]; PS50893:25.99:['transport', 'channel', 'import', 'export']:[]	ssuB:5.94117e-176:['transport']:[]
NP_415454.4 aliphatic sulfonate ABC transporter membrane subunit	100%	7:Yes	Yes	PS50928:17.203:['transport', 'channel', 'import', 'export']:[]	ssuC:2.73557e-172:['permease']:[]
NP_415526.4 pyrimidine:H(+) symporter	100%	9:Yes	Yes		RutG:0.0:['transport', 'permease', 'import']:[]
NP_415535.1 proline:Na(+) symporter	100%	11:Yes	Yes	PS50283:82.594:['symporter']:[]	PRK15419:0.0:['symporter']:[]
NP_415634.1 lipoprotein release complex - inner membrane subunit	100%	4:Yes	Yes		PRK10814:0.0:['permease']:[]
NP_415636.1 lipoprotein release complex - inner membrane subunit	100%	4:Yes	Yes		PRK11146:0.0:['permease']:[]
NP_415704.1 Na(+):H(+) antiporter NhaB	100%	11:Yes	Yes		nhaB:0.0:['antiporter']:[]
NP_415709.2 putative K(+):H(+) antiporter	100%	10:Yes	Yes	PS51202:13.55:['channel', 'antiporter']:[]	NhaP2:0.0:['transport', 'antiporter']:[]
NP_415734.1 Na(+)/K(+):H(+) antiporter ChaA	100%	10:Yes	Yes		PRK10599:0.0:['antiporter']:[]
NP_415760.1 murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppB	100%	5:Yes	Yes	PS50928:20.36:['transport', 'channel', 'import', 'export']:[]	oppB:0.0:['permease']:[]
NP_415761.1 murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppC	100%	6:Yes	Yes	PS50928:19.946:['transport', 'channel', 'import', 'export']:[]	PRK15406:0.0:['permease']:[]
NP_415766.1 K(+) channel Kch	100%	6:Yes	Yes	PS51201:13.94:['channel', 'antiporter']:[]	PRK10537:0.0:['channel']:[]
NP_415808.1 putrescine ABC exporter membrane protein SapC	100%	5:Yes	Yes	PS50928:17.878:['transport', 'channel', 'import', 'export']:[]	PRK15111:0.0:['permease']:[]
NP_415809.1 putrescine ABC exporter membrane subunit SapB	100%	5:Yes	No	PS50928:21.339:['transport', 'channel', 'import', 'export']:[]	PRK15110:0.0:['permease']:[]
NP_415827.1 putative ABC transporter membrane subunit YcjO	100%	4:Yes	No	PS50928:26.739:['transport', 'channel', 'import', 'export']:[]	UgpA:2.73463e-69:['transport', 'permease']:[]
NP_415828.1 putative ABC transporter membrane subunit YcjP	100%	7:Yes	No	PS50928:26.826:['transport', 'channel', 'import', 'export']:[]	UgpE:8.7517e-77:['transport', 'permease']:[]
NP_415950.4 putative transport protein YdcO	100%	10:Yes	Yes		Xan_ur_permease superfamily:0.0:['transport', 'permease']:[]
NP_415959.1 putative ABC transporter membrane subunit YdcU	100%	6:Yes	Yes	PS50928:23.495:['transport', 'channel', 'import', 'export']:[]	PotB:3.38493e-69:['transport', 'permease']:[]
NP_415960.1 putative ABC transporter membrane subunit YdcV	100%	6:Yes	Yes	PS50928:22.036:['transport', 'channel', 'import', 'export']:[]	PotC:1.51262e-64:['transport', 'permease']:[]
NP_415970.4 L-asparagine transporter	100%	12:Yes	Yes		PRK15049:0.0:['permease']:[]
NP_416002.1 putative D,D-dipeptide ABC transporter membrane subunit DdpC	100%	5:Yes	Yes	PS50928:20.577:['transport', 'channel', 'import', 'export']:[]	PRK09881:0.0:['permease']:[]
NP_416003.1 putative D,D-dipeptide ABC transporter membrane subunit DdpB	100%	7:Yes	Yes	PS50928:22.515:['transport', 'channel', 'import', 'export']:[]	DppB:1.64596e-108:['transport', 'permease']:[]
NP_416013.1 ABC transporter family protein YddA	100%	5:Yes	No	PS50929:15.858:['transport', 'channel', 'import', 'export']:[]; PS50893:10.804:['transport', 'channel', 'import', 'export']:[]	YddA:0.0:['transport', 'permease']:[]
NP_416031.1 Autoinducer-2 ABC transporter membrane subunit LsrC	100%	8:Yes	Yes		PRK15432:0.0:['permease']:[]
NP_416032.1 Autoinducer-2 ABC transporter membrane subunit LsrD	100%	8:Yes	Yes		PRK15038:5.84108e-180:['permease']:[]
NP_416113.1 putative transporter YnfM	100%	12:Yes	Yes	PS50850:36.048:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	MFS_NepI_like:7.91441e-88:['transport', 'permease', 'pump', 'facilitator']:[]
NP_416122.1 putative arginine:ornithine antiporter	100%	11:Yes	Yes		2A0302:0.0:['transport', 'antiporter']:[]
NP_416151.1 dipeptide/tripeptide:H(+) symporter DtpA	100%	10:Yes	Yes	PS50850:10.952:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	tppB:0.0:['permease']:[]
NP_416174.1 putative transporter YdhP	100%	12:Yes	Yes	PS50850:31.561:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	AraJ:1.54961e-93:['transport', 'permease']:[]
NP_416205.1 putative exporter YdiM	100%	9:Yes	No	PS50850:28.073:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	MFS_YdiM_like:1.96744e-177:['transport', 'permease', 'facilitator']:[]
NP_416206.6 putative transporter YdiN	100%	11:Yes	Yes	PS50850:27.584:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	MFS_YdiM_like:7.65641e-175:['transport', 'permease', 'facilitator']:[]
NP_416226.1 vitamin B12 ABC transporter membrane subunit	100%	7:Yes	Yes		PRK03784:2.23522e-165:['permease']:[]
NP_416243.1 cystine/sulfocysteine:cation symporter	100%	7:Yes	Yes		TcyP:0.0:['transport', 'symporter']:[]
NP_416269.4 putative ABC transporter membrane subunit YnjC	100%	11:Yes	Yes	PS50928:11.128:['transport', 'channel', 'import', 'export']:[]; PS50928:13.066:['transport', 'channel', 'import', 'export']:[]	YnjC superfamily:2.34358e-165:['transport', 'permease']:[]
NP_416283.1 putative transporter YdjE	100%	11:Yes	Yes	PS50850:40.919:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	MFS_SV2_like:2.57036e-49:['transport', 'facilitator']:[]
NP_416289.1 putative transporter YdjK	100%	12:Yes	Yes	PS50850:37.75:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	MFS_SV2_like:1.71545e-55:['transport', 'facilitator']:[]
NP_416342.4 putative transporter YebQ	100%	11:Yes	Yes	PS50850:37.431:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	MFS_MMR_MDR_like:2.52613e-76:['transport', 'facilitator']:[]
NP_416373.1 Zn(2(+)) ABC transporter membrane subunit	100%	5:Yes	Yes		znuB:1.982e-157:['permease']:[]
NP_416428.1 cystine ABC transporter membrane subunit	100%	3:Yes	Yes	PS50928:20.708:['transport', 'channel', 'import', 'export']:[]	PRK15100:9.28708e-148:['permease']:[]
NP_416579.1 multidrug efflux pump RND permease subunit MdtB	100%	10:Yes	Yes		PRK10503:0.0:['permease']:[]
NP_416632.1 glycine betaine ABC transporter membrane subunit YehW	100%	6:Yes	Yes	PS50928:20.316:['transport', 'channel', 'import', 'export']:[]	OpuBB:6.52912e-73:['transport', 'permease']:[]
NP_416633.1 glycine betaine ABC transporter ATP binding subunit YehX	100%	0:No	Yes	PS50893:27.811:['transport', 'channel', 'import', 'export']:[]	OpuBA:0.0:['transport']:[]
NP_416634.1 glycine betaine ABC transporter membrane subunit YehY	100%	10:Yes	Yes	PS50928:21.274:['transport', 'channel', 'import', 'export']:[]	OpuBB:2.38866e-75:['transport', 'permease']:[]
NP_416653.1 D-galactose/methyl-galactoside ABC transporter membrane subunit	100%	9:Yes	Yes		mglC:0.0:['permease']:[]
NP_416666.1 putative nucleoside transporter	100%	7:Yes	Yes		NupC:5.96662e-174:['transport', 'permease']:[]
NP_416669.1 putative pseudouridine transporter	100%	7:Yes	Yes		NupC:1.38698e-168:['transport', 'permease']:[]
NP_416683.1 putative oligopeptide ABC transporter membrane subunit YejB	100%	6:Yes	Yes	PS50928:18.226:['transport', 'channel', 'import', 'export']:[]	PRK15133:0.0:['permease']:[]
NP_416684.1 putative oligopeptide ABC transporter membrane subunit YejE	100%	6:Yes	Yes	PS50928:16.353:['transport', 'channel', 'import', 'export']:[]	PRK15021:0.0:['permease']:[]
NP_416749.4 putative transporter YfaV	100%	10:Yes	Yes	PS50850:30.689:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	MFS_ExuT_GudP_like:1.65724e-87:['transport', 'facilitator']:[]
NP_416795.1 putative transporter YfbS	100%	10:Yes	Yes	PS51202:9.899:['channel', 'antiporter']:[]; PS51202:13.48:['channel', 'antiporter']:[]	CitT:2.17702e-67:['transport']:[]
NP_416801.2 putative transporter YfcC	100%	9:Yes	Yes		PRK11588:0.0:['antiporter']:[]
NP_416811.1 lysine/arginine/ornithine ABC transporter/histidine ABC transporter, membrane subunit HisQ	100%	4:Yes	Yes	PS50928:18.792:['transport', 'channel', 'import', 'export']:[]	PRK15135:1.48258e-141:['permease']:[]
NP_416866.1 D-serine transporter	100%	11:Yes	Yes		PRK09921:0.0:['permease']:[]
NP_416868.1 tripartite efflux pump membrane subunit EmrY	100%	12:Yes	Yes	PS50850:36.176:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	EmrB superfamily:0.0:['permease']:[]
NP_416894.1 nucleoside:H(+) symporter NupC	100%	7:Yes	Yes		NupC:2.10952e-167:['transport', 'permease']:[]
NP_416904.1 putative LysR-type DNA-binding transcriptional regulator YfeR	100%	0:No	Yes	PS50931:30.074:['antiporter']:[]	PBP2_LTTR_like_4:2.1365e-74:['transport']:[]; HTH_1:9.00166e-24:[]:[]
NP_416919.1 sulfate/thiosulfate ABC transporter inner membrane subunit CysU	100%	5:Yes	Yes	PS50928:28.155:['transport', 'channel', 'import', 'export']:[]	PRK10971:0.0:['permease']:[]
NP_416965.1 multidrug efflux pump RND permease AcrD	100%	11:Yes	Yes		PRK10555:0.0:['permease']:[]
NP_417041.1 putative ABC transporter membrane subunit YphD	100%	7:Yes	Yes		AraH:2.14627e-78:['transport', 'permease']:[]
NP_417042.1 putative ABC transporter ATP-binding protein YphE	100%	0:No	Yes	PS50893:21.182:['transport', 'channel', 'import', 'export']:[]; PS50893:17.661:['transport', 'channel', 'import', 'export']:[]	MglA:0.0:['transport']:[]
NP_417102.4 cytochrome c assembly family protein	100%	7:Yes	Yes		YpjD:1.83074e-114:['transport', 'permease']:[]
NP_417149.1 4-aminobutyrate:H(+) symporter	100%	12:Yes	Yes		PRK10197:0.0:['permease']:[]
NP_417164.1 glycine betaine ABC transporter membrane subunit ProW	100%	6:Yes	Yes	PS50928:29.113:['transport', 'channel', 'import', 'export']:[]	PRK10952:0.0:['permease']:[]
NP_417167.1 L-valine exporter subunit YgaZ	100%	5:Yes	Yes		AzlC:7.54877e-64:['transport', 'permease']:[]
NP_417171.1 multidrug efflux pump membrane subunit EmrB	100%	10:Yes	Yes	PS50850:37.367:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	EmrB:0.0:['permease']:[]
NP_417194.2 DNA-binding transcriptional repressor AscG	100%	0:No	Yes	PS50932:34.326:['transport']:[]	PBP1_GalS-like:1.8075e-124:['transport', 'permease']:[]; HTH_LACI:3.43034e-29:[]:[]
NP_417251.2 putative transporter YgcS	100%	12:Yes	Yes	PS50850:48.193:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	MFS_SV2_like:6.15252e-47:['transport', 'facilitator']:[]
NP_417255.1 putative transport protein YqcE	100%	9:Yes	Yes	PS50850:12.335:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	MFS:7.80886e-30:['transport', 'permease', 'facilitator']:[]
NP_417269.1 galactarate/glucarate/glycerate transporter GudP	100%	12:Yes	Yes	PS50850:41.238:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	2A0114:1.13811e-161:['transport']:[]
NP_417276.1 serine:H(+) symporter SdaC	100%	8:Yes	Yes		stp:0.0:['transport', 'permease']:[]
NP_417281.1 L-fucose:H(+) symporter	100%	11:Yes	Yes	PS50850:9.166:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	PRK10133:0.0:['permease', 'symporter']:[]
NP_417318.1 arabinose:H(+) symporter	100%	11:Yes	Yes	PS50850:56.742:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	SP:2.15246e-152:['transport', 'facilitator']:[]
NP_417322.1 putative transporter YqeG	100%	9:Yes	Yes		SdaC:6.83661e-89:['transport', 'permease']:[]
NP_417449.1 glycolate/lactate:H(+) symporter GlcA	100%	11:Yes	Yes		PRK09695:0.0:['permease']:[]
NP_417535.1 L-tartrate:succinate antiporter	100%	10:Yes	Yes		Na_sulph_symp:0.0:['symporter']:[]
NP_417564.2 hexuronate transporter	100%	10:Yes	Yes	PS50850:34.517:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	2A0114:3.19868e-127:['transport']:[]
NP_417630.1 tryptophan:H(+) symporter Mtr	100%	11:Yes	Yes		PRK10483:0.0:['permease']:[]
NP_417651.1 inner membrane protein YhbE	100%	9:Yes	Yes		EamA:6.4457e-18:[]:[]; RhaT:3.233e-12:['transport', 'permease']:[]
NP_417661.1 intermembrane phospholipid transport system, integral membrane subunit MlaE	100%	5:Yes	Yes		perm_MlaE_1:1.62316e-162:['permease']:[]
NP_417663.1 putative transport protein YrbG	100%	7:Yes	Yes		PRK10734:1.68699e-173:['antiporter']:[]
NP_417724.4 pantothenate:Na(+) symporter	100%	12:Yes	Yes	PS50283:72.955:['symporter']:[]	panF:0.0:['symporter']:[]
NP_417736.2 putative ABC transporter membrane subunit YhdY	100%	7:Yes	No	PS50928:14.938:['transport', 'channel', 'import', 'export']:[]	HisM:2.0904e-70:['transport', 'permease']:[]
NP_417829.2 fructoselysine/psicoselysine transporter	100%	10:Yes	Yes		frlA:0.0:['permease']:[]
NP_417868.1 Fe(2(+)) transporter FeoB	100%	10:Yes	Yes	PS51711:100.318:[]:['transfer']	feoB:0.0:['permease']:[]
NP_417909.1 sn-glycerol 3-phosphate ABC transporter membrane subunit UgpA	100%	6:Yes	No	PS50928:23.604:['transport', 'channel', 'import', 'export']:[]	PRK10561:2.79601e-174:['permease']:[]
NP_417913.1 branched chain amino acid/phenylalanine ABC transporter membrane subunit LivM	100%	8:Yes	Yes		livM:0.0:['permease']:[]
NP_417914.1 branched chain amino acid/phenylalanine ABC transporter membrane subunit LivH	100%	7:Yes	Yes		PRK10740:0.0:['permease']:[]
NP_417934.1 Ni(2(+)) ABC transporter membrane subunit NikB	100%	6:Yes	Yes	PS50928:18.335:['transport', 'channel', 'import', 'export']:[]	PRK10352:0.0:['permease']:[]
NP_417935.1 Ni(2(+)) ABC transporter membrane subunit NikC	100%	5:Yes	Yes	PS50928:16.092:['transport', 'channel', 'import', 'export']:[]	nikC:1.87321e-162:['permease']:[]
NP_417953.1 dipeptide/tripeptide:H(+) symporter DtpB	100%	12:Yes	Yes		PRK10207:0.0:['permease']:[]
NP_417971.1 multidrug efflux pump RND permease MdtF	100%	11:Yes	Yes		PRK15127 superfamily:0.0:['permease']:[]
NP_417978.2 putative DNA-binding transcriptional regulator YhjC	100%	0:No	Yes	PS50931:25.58:['antiporter']:[]	PBP2_CrgA_like_3:4.68342e-98:['transport']:[]; HTH_1:7.08562e-19:[]:[]
NP_417980.1 putative transporter YhjE	100%	11:Yes	Yes	PS50850:41.217:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	MFS_ShiA_like:3.0599e-159:['transport', 'facilitator']:[]
NP_417999.1 dipeptide ABC transporter membrane subunit DppC	100%	5:Yes	Yes	PS50928:26.26:['transport', 'channel', 'import', 'export']:[]	PRK10913:0.0:['permease']:[]
NP_418000.1 dipeptide ABC transporter membrane subunit DppB	100%	6:Yes	Yes	PS50928:20.294:['transport', 'channel', 'import', 'export']:[]	PRK10914:0.0:['permease']:[]
NP_418003.1 putative pyruvate transporter	100%	11:Yes	Yes	PS50850:24.776:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	2A0111:1.5539e-137:['transport', 'facilitator', 'antiporter']:[]
NP_418025.1 xylose ABC transporter membrane subunit	100%	9:Yes	Yes		XylH:4.70144e-160:['transport', 'permease']:[]
NP_418060.1 lactate/glycolate:H(+) symporter LldP	100%	12:Yes	Yes		PRK10420:0.0:['permease']:[]
NP_418118.2 purine ribonucleoside exporter	100%	12:Yes	Yes	PS50850:23.926:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	nepI:0.0:['pump']:[]
NP_418120.2 adenine transporter	100%	11:Yes	Yes		AzgA:2.95171e-175:['transport', 'permease']:[]
NP_418122.1 hexose-6-phosphate:phosphate antiporter	100%	11:Yes	Yes	PS50850:21.714:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	uhpT:0.0:['antiporter']:[]
NP_418135.1 putative transporter YidK	100%	13:Yes	Yes	PS50283:63.123:['symporter']:[]	YidK:0.0:['permease', 'symporter']:[]
NP_418170.1 adenine:H(+) symporter	100%	12:Yes	Yes		AzgA:5.85274e-169:['transport', 'permease']:[]
NP_418182.1 phosphate ABC transporter membrane subunit PstA	100%	6:Yes	Yes	PS50928:20.49:['transport', 'channel', 'import', 'export']:[]	pstA:0.0:['permease']:[]
NP_418183.1 phosphate ABC transporter membrane subunit PstC	100%	6:Yes	Yes	PS50928:22.058:['transport', 'channel', 'import', 'export']:[]	pstC:0.0:['permease']:[]
NP_418539.1 arginine:agmatine antiporter	100%	10:Yes	Yes		PRK10644:0.0:['antiporter']:[]
NP_418554.1 dipeptide/tripeptide:H(+) symporter DtpC	100%	12:Yes	Yes	PS50850:11.548:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	MFS superfamily:0.0:['transport', 'permease', 'facilitator']:[]
NP_418556.1 lysine:cadaverine antiporter	100%	10:Yes	Yes		cadB:0.0:['antiporter']:[]
NP_418631.2 inner membrane protein YtfF	100%	9:Yes	Yes		RhaT:2.53446e-13:['transport', 'permease']:[]
NP_418651.3 galactofuranose ABC transporter putative membrane subunit YtfT	100%	9:Yes	Yes		AraH:2.44152e-61:['transport', 'permease']:[]
NP_418652.2 galactofuranose ABC transporter putative membrane subunit YjtF	100%	8:Yes	Yes		PRK11618:7.09522e-178:['permease']:[]
NP_418682.1 lipopolysaccharide transport system protein LptF	100%	5:Yes	Yes		PRK15120:0.0:['permease']:[]
NP_418683.4 lipopolysaccharide transport system protein LptG	100%	5:Yes	Yes		PRK15071:0.0:['permease']:[]
NP_418708.1 ferric citrate ABC transporter membrane subunit FecD	100%	7:Yes	Yes	PS51257:5.0:['transport']:[]	fecD:6.37698e-160:['permease']:[]
NP_418709.1 ferric citrate ABC transporter membrane subunit FecC	100%	8:Yes	Yes		fecC:6.32665e-159:['permease']:[]
YP_009518786.1 putative transporter YdfJ	100%	9:Yes	Yes	PS50850:30.731:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	2A0106:2.94841e-156:['transport', 'facilitator']:[]
YP_026162.2 arabinose ABC transporter membrane subunit	100%	7:Yes	Yes		araH:0.0:['permease']:[]
YP_026168.2 sulfate/thiosulfate ABC transporter inner membrane subunit CysW	100%	6:Yes	Yes	PS50928:24.758:['transport', 'channel', 'import', 'export']:[]	cysW:0.0:['permease']:[]
YP_026186.1 guanine/hypoxanthine transporter GhxQ	100%	11:Yes	Yes		AzgA:1.14164e-146:['transport', 'permease']:[]
YP_026200.1 putative transporter YgjI	100%	11:Yes	Yes		AA_permease_2 superfamily:2.83856e-38:['permease']:[]
YP_026203.3 putative D/L-serine transporter	100%	11:Yes	Yes		SdaC:4.30099e-72:['transport', 'permease']:[]
YP_026209.1 putative ABC transporter membrane subunit YhdX	100%	8:Yes	Yes	PS50928:20.795:['transport', 'channel', 'import', 'export']:[]	BatB:0.0:['transport', 'permease']:[]
YP_026232.1 2,3-diketo-L-gulonate:Na(+) symporter - membrane subunit	100%	11:Yes	Yes		PRK15060:0.0:['permease']:[]
YP_026286.1 galactofuranose ABC transporter putative ATP binding subunit	100%	0:No	Yes	PS50893:23.556:['transport', 'channel', 'import', 'export']:[]; PS50893:16.12:['transport', 'channel', 'import', 'export']:[]	MglA:0.0:['transport']:[]
NP_416810.1 lysine/arginine/ornithine ABC transporter/histidine ABC transporter, membrane subunit HisM	99%	4:Yes	No	PS50928:17.899:['transport', 'channel', 'import', 'export']:[]	PRK15069:8.69676e-164:['permease']:[]
NP_417908.1 sn-glycerol 3-phosphate ABC transporter membrane subunit UgpE	99%	4:Yes	No	PS50928:18.117:['transport', 'channel', 'import', 'export']:[]	PRK10973:1.9958e-177:['permease']:[]
NP_416601.1 putative transporter YegT	96%	10:Yes	No	PS50850:11.186:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	2A0110:0.0:['transport', 'permease']:[]
NP_416901.1 xanthosine:H(+) symporter XapB	96%	11:Yes	No	PS50850:9.931:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	2A0110:0.0:['transport', 'permease']:[]
NP_417439.4 nucleoside:H(+) symporter NupG	96%	12:Yes	No	PS50850:11.718:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	2A0110:0.0:['transport', 'permease']:[]
NP_414794.4 S-methyl-L-methionine transporter	95%	12:Yes	No		PRK11387:0.0:['permease']:[]
NP_414804.1 putative D-xylonate transporter YagG	95%	11:Yes	No		PRK09669:0.0:['symporter']:[]
NP_414936.1 putative transporter ProY	95%	11:Yes	No		proY:0.0:['permease']:[]
NP_415419.2 putative transporter YcaM	95%	11:Yes	No		AA_permease_2 superfamily:1.44026e-35:['permease']:[]
NP_415741.1 nitrate:nitrite antiporter NarK	95%	11:Yes	No		MFS superfamily:0.0:['transport', 'permease', 'facilitator']:[]
NP_417418.1 galactose:H(+) symporter	95%	11:Yes	No	PS50850:61.315:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	SP:1.90549e-152:['transport', 'facilitator']:[]
