NAME	SCORE	TMHMM	TMBB	PROSITE	CDD
NP_001335795.1 uncharacterized protein YLR112W	0%	0:No	No		
NP_001335796.1 uncharacterized protein YLR122C	0%	1:Yes	No		
NP_001335797.1 uncharacterized protein YLR236C	0%	0:No	No		
NP_001335798.1 uncharacterized protein YLR255C	0%	0:No	No		
NP_001335799.1 uncharacterized protein YLR296W	0%	1:Yes	No		
NP_001335800.1 uncharacterized protein YLR302C	0%	0:No	No		
NP_001335801.1 Jip3p	0%	0:No	No		
NP_001335802.1 uncharacterized protein YLR365W	0%	0:No	No		
NP_001335803.1 uncharacterized protein YML122C	0%	0:No	No		
NP_001335804.1 uncharacterized protein YMR007W	0%	0:No	No		
NP_001335805.1 uncharacterized protein YMR082C	0%	0:No	No		
NP_001335806.1 uncharacterized protein YMR103C	0%	1:Yes	No		
NP_001335807.1 uncharacterized protein YMR122C	0%	0:No	No		
NP_001335808.1 uncharacterized protein YMR141C	0%	1:Yes	No		
NP_001335809.1 uncharacterized protein YMR254C	0%	1:Yes	No		
NP_001335810.1 uncharacterized protein YMR320W	0%	0:No	No		
NP_001335811.1 uncharacterized protein YOL160W	0%	0:No	No		
NP_001335812.1 uncharacterized protein YOL118C	0%	0:No	No		
NP_001335813.1 uncharacterized protein YOL085C	0%	0:No	No		
NP_001335814.1 uncharacterized protein YOR015W	0%	1:Yes	No		
NP_001335815.1 uncharacterized protein YOR029W	0%	0:No	No		
NP_001335816.1 uncharacterized protein YOR072W	0%	0:No	No		
NP_001335817.1 Irc13p	0%	1:Yes	No		
NP_001335818.1 uncharacterized protein YOR314W	0%	0:No	No		
NP_001335819.1 uncharacterized protein YOR343C	0%	0:No	No		
NP_001335820.1 uncharacterized protein YOR376W	0%	1:Yes	No		
NP_001335821.1 uncharacterized protein YPL261C	0%	0:No	No		
NP_001335822.1 uncharacterized protein YPL080C	0%	0:No	No		
NP_001335823.1 uncharacterized protein YPL062W	0%	0:No	No		
NP_001335824.1 uncharacterized protein YPR014C	0%	0:No	No		
NP_001335825.1 uncharacterized protein YPR053C	0%	0:No	No		
NP_001335826.1 uncharacterized protein YPR064W	0%	1:Yes	No		
NP_001335827.1 uncharacterized protein YPR195C	0%	0:No	No		
NP_009305.1 cytochrome c oxidase subunit 1 (mitochondrion)	80%	12:Yes	No	PS50855:112.686:[]:['transfer', 'enzyme']	Cyt_c_Oxidase_I:0.0:[]:['transfer']
NP_009306.1 intron-encoded DNA endonuclease aI5 alpha (mitochondrion)	80%	10:Yes	No	PS50855:76.56:[]:['transfer', 'enzyme']	Heme_Cu_Oxidase_I superfamily:0.0:['pump']:['transfer']; LAGLIDADG_2:1.49222e-64:[]:[]
NP_009307.2 intron-encoded DNA endonuclease aI4 (mitochondrion)	32%	6:Yes	No	PS50855:53.028:[]:['transfer', 'enzyme']	CyoB:8.08883e-173:[]:[]
NP_009308.2 intron-encoded DNA endonuclease aI3 (mitochondrion)	66%	3:Yes	No	PS50855:14.576:[]:['transfer', 'enzyme']	Heme_Cu_Oxidase_I superfamily:1.18884e-33:['pump']:['transfer']; LAGLIDADG_1:5.84582e-14:[]:[]; LAGLIDADG_1:6.21467e-09:[]:[]
NP_009309.1 intron-encoded reverse transcriptase aI2 (mitochondrion)	62%	3:Yes	No	PS50855:11.734:[]:['transfer', 'enzyme']; PS50878:35.401:[]:[]	RT_G2_intron:1.04551e-80:[]:[]; Intron_maturas2:2.80825e-52:[]:[]; Heme_Cu_Oxidase_I superfamily:6.63733e-23:['pump']:['transfer']
NP_009310.1 intron-encoded reverse transcriptase aI1 (mitochondrion)	43%	1:Yes	No	PS50878:45.712:[]:[]	RT_G2_intron:3.36773e-89:[]:[]; Intron_maturas2:5.17426e-54:[]:[]; Heme_Cu_Oxidase_I superfamily:1.21362e-16:['pump']:['transfer']; HNHc:0.000660569:[]:[]
NP_009311.2 intron-encoded DNA endonuclease aI5 beta (mitochondrion)	0%	0:No	No		LAGLIDADG_1:1.78793e-06:[]:[]
NP_009312.1 F1F0 ATP synthase subunit 8 (mitochondrion)	0%	1:Yes	No		Fun_ATP-synt_8:2.14294e-10:[]:[]
NP_009313.1 F1F0 ATP synthase subunit a (mitochondrion)	61%	6:Yes	Yes		ATP_synt_6_or_A:4.76518e-51:[]:['enzyme']
NP_009315.1 cytochrome b (mitochondrion)	36%	9:Yes	No	PS51002:34.677:[]:['transfer']; PS51003:40.978:[]:['transfer']	CYTB:3.92615e-166:[]:[]
NP_009316.1 intron-encoded RNA maturase bI4 (mitochondrion)	36%	7:Yes	No	PS51002:34.677:[]:['transfer']	CYTB superfamily:2.87423e-122:[]:[]; LAGLIDADG_1:6.09735e-05:[]:[]; Hop superfamily:0.00140647:[]:[]
NP_009317.1 cytochrome b mRNA maturase bI3 (mitochondrion)	26%	5:Yes	No	PS51002:28.022:[]:['transfer']	CYTB superfamily:1.69089e-79:[]:[]; LAGLIDADG_1:1.07272e-19:[]:[]; LAGLIDADG_1:5.52648e-06:[]:[]
NP_009318.1 cytochrome b mRNA maturase bI2 (mitochondrion)	26%	4:Yes	No	PS51002:23.889:[]:['transfer']	CYTB superfamily:1.08832e-59:[]:[]; LAGLIDADG_2:1.16901e-57:[]:[]
NP_009319.1 F0 ATP synthase subunit c (mitochondrion)	20%	2:Yes	Yes		ATP-synt_Fo_c_ATP5G3:5.70363e-22:[]:[]
NP_009320.1 mitochondrial 37S ribosomal protein VAR1 (mitochondrion)	0%	0:No	No		VAR1:7.85648e-64:[]:[]
NP_009324.1 intron-encoded endonuclease I-SceI (mitochondrion)	0%	1:Yes	No		LAGLIDADG_2:1.44155e-55:[]:[]
NP_009326.1 cytochrome c oxidase subunit 2 (mitochondrion)	7%	2:Yes	No	PS50999:25.417:[]:['transfer', 'enzyme']; PS50857:48.761:[]:['transfer', 'enzyme']	COX2:3.77614e-103:[]:[]
NP_009327.1 maturase-like protein (mitochondrion)	0%	0:No	No		IENR1:1.01948e-08:[]:[]; LAGLIDADG_1:1.39294e-08:[]:[]
NP_009328.1 cytochrome c oxidase subunit 3 (mitochondrion)	32%	7:Yes	No	PS50253:48.756:[]:['transfer', 'enzyme']	COX3:1.6272e-135:[]:[]
NP_009332.1 seripauperin PAU8	20%	0:No	Yes		SRP1_TIP1:1.52258e-34:[]:[]
NP_009333.1 putative permease SEO1	89%	11:Yes	No		MFS_FEN2_like:6.23948e-151:['transport', 'permease', 'facilitator', 'uptake']:[]
NP_009335.1 uncharacterized protein YAL065C	20%	0:No	Yes		
NP_009336.1 uncharacterized protein YAL064W-B	10%	3:Yes	No		
NP_009337.2 uncharacterized protein YAL064W	0%	0:No	No		
NP_009338.1 flocculin FLO9	20%	1:Yes	Yes	PS51820:15.53:[]:[]	PA14:1.51165e-27:[]:[]; Flocculin_t3:0.000289802:[]:[]; Flocculin_t3:0.000478664:[]:[]; Flocculin_t3:0.00346478:[]:[]
NP_009339.1 glutamate dehydrogenase (NADP(+)) GDH3	20%	0:No	Yes		PRK09414 superfamily:0.0:[]:[]
NP_009340.1 putative dehydrogenase BDH2	0%	0:No	No		butanediol_DH_like:0.0:[]:[]
NP_009341.2 (R,R)-butanediol dehydrogenase	0%	0:No	No		butanediol_DH_like:0.0:[]:[]
NP_009342.2 Ecm1p	0%	0:No	No		Alb1:5.632e-17:[]:[]
NP_009343.1 calnexin	0%	1:Yes	No		Calreticulin:4.56035e-163:[]:[]
NP_009345.3 Gpb2p	0%	0:No	No		Kelch_5:0.0089159:[]:[]
NP_009346.1 ubiquitin-protein transferase activating protein PEX22	31%	0:No	No		Peroxin-22:2.15568e-24:[]:['enzyme']
NP_009347.1 acetate--CoA ligase 1	31%	0:No	No		ACS:0.0:[]:['enzyme']
NP_009348.2 flavin adenine dinucleotide transporter FLC2	80%	9:Yes	No		TRP:0.0:['channel']:[]; TRP_N:1.25019e-60:[]:[]
NP_009349.3 oleate-activated transcription factor OAF1	0%	0:No	No	PS50048:11.536:[]:[]	Zn_clus:4.78205e-16:[]:[]; fungal_TF_MHR:1.08299e-12:[]:[]
NP_009350.1 protein AIM2	0%	0:No	No		DLH:1.04534e-77:[]:[]
NP_009351.1 ERMES complex Ca(2+)-binding regulatory GTPase GEM1	15%	1:Yes	No	PS51423:58.081:['transport', 'import', 'export']:[]; PS50222:6.145:[]:[]; PS50222:9.381:[]:[]; PS51423:64.538:['transport', 'import', 'export']:[]	Miro2:1.13853e-93:[]:[]; P-loop_NTPase superfamily:2.50928e-50:[]:[]; EF_assoc_1:8.8757e-31:[]:[]; EF_assoc_2:3.55328e-30:[]:[]
NP_009352.2 gamma-tubulin complex subunit SPC72	0%	0:No	No		SMC_prok_A superfamily:3.81567e-06:[]:[]; Mto2_bdg superfamily:0.00150128:[]:[]
NP_009353.1 Bol3p	0%	0:No	No		BolA:5.57225e-21:[]:[]
NP_009355.3 glycine decarboxylase subunit H	7%	0:No	No	PS50968:30.088:[]:['enzyme']	gcvH:1.67886e-74:[]:[]
NP_009356.1 RNA-processing protein PTA1	0%	0:No	No		DUF3453:1.85754e-65:[]:[]
NP_009358.1 Erv46p	55%	0:No	No		COPIIcoated_ERV:5.72033e-122:['transport']:[]; ERGIC_N:3.26646e-42:[]:[]
NP_009359.1 Rho family guanine nucleotide exchange factor CDC24	0%	0:No	No	PS50021:13.056:[]:[]; PS50010:29.555:[]:[]; PS50003:7.581:[]:[]; PS51745:23.446:[]:[]	CDC24:1.13393e-41:[]:[]; PH_Scd1:7.67737e-39:[]:[]; RhoGEF:1.33294e-38:[]:[]; PB1:1.17167e-12:[]:[]
NP_009360.1 cyclin CLN3	0%	0:No	No	PS51257:5.0:['transport']:[]	COG5024:2.05362e-78:[]:[]
NP_009361.1 holocytochrome c synthase CYC3	0%	0:No	No		Cyto_heme_lyase:1.64917e-129:[]:[]
NP_009362.1 pyruvate kinase CDC19	31%	0:No	No		Pyruvate_Kinase:0.0:[]:['enzyme']
NP_009363.1 uncharacterized protein YAL037W	0%	0:No	No		
NP_009364.1 GTP-binding protein RBG1	0%	0:No	No	PS51710:51.95:[]:[]; PS51880:16.439:[]:[]	Rbg1:0.0:[]:[]
NP_009365.1 translation initiation factor eIF5B	0%	0:No	No	PS51722:44.077:[]:[]	InfB superfamily:0.0:[]:[]
NP_009367.1 MIND complex subunit MTW1	0%	0:No	No		Mis12:2.67564e-46:[]:[]
NP_009368.2 Fun19p	0%	0:No	No	PS50934:13.443:[]:[]	SWIRM:6.63051e-14:[]:[]
NP_009369.1 RNA-binding protein POP5	0%	0:No	No		POP5:3.439e-43:[]:[]
NP_009370.1 mRNA splicing protein PRP45	0%	0:No	No		SKIP_SNW superfamily:6.53074e-41:[]:[]
NP_009371.1 protein phosphatase regulator GIP4	0%	0:No	No		
NP_009372.1 SNAP receptor SNC1	0%	1:Yes	No	PS50892:17.153:[]:[]	SNC1 superfamily:2.86421e-33:[]:[]
NP_009373.1 myosin 4	0%	0:No	No	PS51844:17.371:[]:[]; PS51456:255.797:[]:[]; PS50096:6.943:[]:[]; PS50096:7.492:[]:[]; PS51126:29.492:[]:[]	COG5022:0.0:[]:[]
NP_009374.1 Frt2p	0%	1:Yes	No		Hph superfamily:7.86017e-45:[]:[]
NP_009375.1 DNA-binding protein SAW1	0%	0:No	No		Saw1:4.68224e-116:[]:[]
NP_009376.2 aminophospholipid-translocating P4-type ATPase DRS2	20%	7:Yes	No		ATPase-Plipid:0.0:[]:[]
NP_009377.2 ribosome biosynthesis protein MAK16	0%	0:No	No		MAK16:1.51917e-147:[]:[]
NP_009378.1 mitotic regulator LTE1	15%	0:No	No	PS50212:12.924:['uptake']:[]; PS50009:39.948:['uptake']:[]	RasGEF:9.18366e-64:[]:[]; RasGEFN:2.08214e-24:[]:[]
NP_009379.2 dolichyl-phosphate-mannose-protein mannosyltransferase PMT2	56%	9:Yes	No	PS50919:10.193:[]:[]; PS50919:12.885:[]:[]; PS50919:11.294:[]:[]	PMT1:0.0:[]:['transferase']
NP_009380.1 nucleoside transmembrane transporter FUN26	80%	10:Yes	No		2a57:6.05187e-158:['transport']:[]
NP_009381.1 CCR4-NOT core exoribonuclease subunit CCR4	0%	0:No	No	PS51450:6.503:[]:[]; PS51450:9.067:[]:[]	CCR4:2.43542e-168:[]:[]; LRR:6.55144e-21:[]:[]
NP_009382.2 Ats1p	9%	0:No	No	PS50012:14.886:['uptake']:[]; PS50012:10.022:['uptake']:[]; PS50012:9.539:['uptake']:[]; PS50012:8.554:['uptake']:[]	ATS1 superfamily:2.6702e-119:[]:[]
NP_009383.1 DNA-dependent ATPase FUN30	7%	0:No	No	PS51192:24.631:[]:['enzyme']; PS51194:14.637:[]:['enzyme']	DEXHc_SMARCAD1:1.0958e-119:[]:[]; HepA:9.19098e-119:[]:[]
NP_009384.1 Lds1p	10%	5:Yes	No		
NP_009385.2 serine/threonine protein kinase PSK1	55%	0:No	No	PS50011:40.937:[]:['enzyme']	STKc_PASK:2.60699e-162:[]:['transfer', 'sensor']
NP_009386.1 protein phosphatase 2A structural subunit TPD3	26%	0:No	Yes	PS50077:10.63:['transport']:[]; PS50077:10.883:['transport']:[]; PS50077:8.747:['transport']:[]; PS50077:9.927:['transport']:[]; PS50077:11.978:['transport']:[]; PS50077:12.007:['transport']:[]; PS50077:12.512:['transport']:[]; PS50077:10.377:['transport']:[]; PS50077:10.63:['transport']:[]	
NP_009387.1 bifunctional N-glycosylase/AP lyase NTG1	0%	0:No	No		Nth:3.24552e-67:[]:[]
NP_009388.2 syntaxin	20%	0:No	Yes	PS50192:8.956:[]:[]	SNARE_SYN8:2.24059e-21:[]:[]
NP_009389.3 Rpd3L histone deacetylase complex subunit DEP1	0%	0:No	No		Sds3:1.10152e-66:[]:[]
NP_009390.1 cystathionine gamma-lyase CYS3	20%	0:No	Yes		Cys_Met_Meta_PP:0.0:[]:[]
NP_009391.2 Swc3p	0%	0:No	No		PTZ00108 superfamily:0.000152044:[]:[]
NP_009392.2 Mdm10p	0%	0:No	No		MDM10:0.0:[]:[]
NP_009393.1 Nem1-Spo7 phosphatase regulatory subunit SPO7	0%	2:Yes	No		Spo7:5.57372e-100:[]:[]
NP_009394.1 Fun14p	0%	2:Yes	No		
NP_009395.1 Erp2p	20%	2:Yes	Yes	PS50866:16.428:[]:[]	EMP24_GP25L:2.36945e-33:[]:[]
NP_009396.2 Hsp70 family ATPase SSA1	20%	0:No	Yes		PTZ00009 superfamily:0.0:[]:[]
NP_009398.1 translation elongation factor 1 subunit beta	0%	0:No	No		EF1_GNE:6.37341e-40:[]:[]; GST_C_family superfamily:6.6155e-14:[]:[]
NP_009399.2 CORVET complex membrane-binding subunit VPS8	37%	0:No	No	PS50236:24.398:[]:[]; PS50236:23.101:[]:[]; PS50089:8.506:[]:['enzyme']	Vps8:2.17822e-64:[]:[]; RING-H2_Vps:1.73177e-10:['transport']:[]
NP_009400.1 transcription factor TFIIIC subunit TFC3	0%	0:No	No		Tau138_eWH:7.48531e-21:[]:[]; B-block_TFIIIC:2.50504e-18:[]:[]
NP_009401.1 FG-nucleoporin NUP60	0%	0:No	No		
NP_009402.1 Erp1p	0%	2:Yes	No	PS50866:17.374:[]:[]	EMP24_GP25L:8.573e-50:[]:[]
NP_009403.1 COMPASS subunit protein SWD1	9%	0:No	No	PS50294:15.874:['transport', 'uptake']:[]; PS50082:16.056:['transport', 'uptake']:[]	WD40 superfamily:5.16888e-26:[]:[]
NP_009404.1 replication factor A subunit protein RFA1	0%	0:No	No		rpa1:0.0:[]:[]
NP_009405.1 tRNA splicing endonuclease subunit SEN34	31%	0:No	No		endA:3.4814e-67:[]:['enzyme']
NP_009406.1 truncated gag-pol fusion protein	51%	0:No	No	PS50994:14.715:[]:['enzyme']	RNase_HI_RT_Ty1:7.79149e-27:[]:[]; RVT_2 superfamily:5.61584e-23:[]:[]; rve:1.57462e-11:[]:['transfer']; MSCRAMM_ClfA superfamily:0.000416294:[]:[]
NP_009407.1 gag protein	0%	0:No	No		TYA superfamily:1.33609e-41:[]:[]
NP_009408.3 protein phosphatase regulator BUD14	9%	0:No	No	PS50002:15.222:['channel']:[]	SH3_1:2.18243e-08:[]:[]
NP_009409.1 phosphoribosylaminoimidazolesuccinocarboxamide synthase	0%	0:No	No		PRK13961:1.10673e-156:[]:[]
NP_009410.1 serine/threonine protein kinase KIN3	55%	0:No	No	PS50011:43.764:[]:['enzyme']	STKc_Nek2:2.35304e-149:[]:['transfer']
NP_009411.2 serine/threonine protein kinase CDC15	55%	0:No	No	PS50011:51.919:[]:['enzyme']	PKc_like superfamily:9.39562e-106:[]:['transfer']
NP_009412.1 seripauperin PAU7	20%	0:No	Yes		SRP1_TIP1 superfamily:2.99833e-08:[]:[]
NP_009413.2 DUP240 family protein	0%	2:Yes	No		DUP:7.51731e-39:[]:[]
NP_009414.1 DUP240 family protein UIP3	0%	1:Yes	No		DUP:5.50214e-36:[]:[]
NP_009415.1 DUP240 family protein	0%	2:Yes	No		DUP:2.14671e-30:[]:[]
NP_009416.1 DUP240 family protein	0%	0:No	No		DUP superfamily:2.4586e-15:[]:[]
NP_009418.1 pheromone-regulated DUP240 family protein PRM9	0%	2:Yes	No		DUP:6.84905e-38:[]:[]
NP_009419.1 DUP240 family protein MST28	0%	2:Yes	No		DUP:6.40662e-39:[]:[]
NP_009420.1 carnitine O-acetyltransferase YAT1	0%	0:No	No		Carn_acyltransf:0.0:[]:[]
NP_009421.3 oxysterol-binding protein related protein SWH1	55%	0:No	No	PS50297:11.161:[]:[]; PS50088:9.938:[]:[]; PS50088:9.271:[]:[]; PS50297:10.179:[]:[]; PS50003:11.826:[]:[]	Oxysterol_BP:0.0:[]:[]; PH_Osh1p_Osh2p_yeast:3.53439e-51:['transport']:[]; ANKYR:4.64015e-09:[]:[]; Ank_4:1.04798e-05:[]:[]; Ank:0.000144356:['channel']:[]; SMC_prok_A superfamily:0.00338072:[]:[]
NP_009424.1 flocculin FLO1	20%	1:Yes	Yes	PS51820:15.781:[]:[]	PA14:7.40864e-31:[]:[]; Flocculin_t3:6.39669e-05:[]:[]; Flocculin_t3:0.00151943:[]:[]; Flocculin_t3:0.00402955:[]:[]
NP_009429.1 uncharacterized protein YAR064W	0%	0:No	No		
NP_009430.1 uncharacterized protein YAR066W	20%	0:No	Yes		
NP_009431.1 uncharacterized protein YAR068W	0%	0:No	No		
NP_009434.1 acid phosphatase PHO11	43%	0:No	No		His_Phos_2:1.65567e-67:[]:['transfer']
NP_009437.1 uncharacterized protein YBL113C	20%	0:No	Yes		
NP_009438.1 uncharacterized protein YBL112C	0%	0:No	No		SrmB:3.85914e-08:[]:[]
NP_009439.1 uncharacterized protein YBL111C	0%	0:No	No		SrmB:4.44239e-42:[]:[]
NP_009443.1 Mix23p	0%	0:No	No		Cid2:1.16928e-49:[]:[]
NP_009444.2 putative Rab GTPase-binding protein SRO77	0%	0:No	No	PS50294:8.571:['transport', 'uptake']:[]; PS50082:8.871:['transport', 'uptake']:[]; PS50082:8.637:['transport', 'uptake']:[]; PS50294:8.677:['transport', 'uptake']:[]	Lgl_C:0.0:[]:[]; WD40_like superfamily:0.00221258:[]:[]
NP_009445.2 protein kinase C	55%	0:No	No	PS51860:17.553:[]:[]; PS51860:24.382:[]:[]; PS50004:11.622:[]:[]; PS50081:13.743:[]:['transfer', 'enzyme']; PS50081:12.54:[]:['transfer', 'enzyme']; PS50011:45.375:[]:['enzyme']; PS51285:15.579:[]:[]	STKc_PKC:0.0:[]:['transfer']; C2_fungal_Pkc1p:2.0504e-61:[]:[]; C1_ScPKC1-like_rpt2:8.53459e-39:[]:[]; HR1_PKC-like_2_fungi:4.08504e-33:[]:[]; C1_ScPKC1-like_rpt1:4.27799e-29:[]:[]; HR1_PKC-like_1_fungi:1.79691e-28:[]:[]
